path,n_detections,max_conf
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/AoF00122.jpg,1,0.33136141300201416
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/AoF00748.jpg,1,0.35416120290756226
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/AoF01277.jpg,1,0.3219406008720398
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/AoF01339.jpg,1,0.34212246537208557
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/AoF01452.jpg,1,0.29584571719169617
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/AoF03284.jpg,1,0.28955528140068054
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/AoF03285.jpg,1,0.32731229066848755
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/AoF03326.jpg,1,0.2996807098388672
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/AoF03408.jpg,1,0.39143431186676025
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/AoF03782.jpg,1,0.4134098291397095
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/AoF03930.jpg,1,0.2636018991470337
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/AoF03958.jpg,2,0.29564380645751953
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/AoF03962.jpg,1,0.5111690163612366
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/AoF03978.jpg,1,0.3593160808086395
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/AoF03979.jpg,1,0.4263433814048767
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/AoF03984.jpg,1,0.25232574343681335
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/PublicDataset00895.jpg,1,0.6866111159324646
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/WEB00356.jpg,1,0.3653297424316406
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/WEB00410.jpg,1,0.40955883264541626
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/WEB00669.jpg,1,0.40795931220054626
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/WEB01278.jpg,1,0.38124367594718933
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/WEB02404.jpg,1,0.36779722571372986
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/WEB02476.jpg,1,0.633503258228302
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/WEB02477.jpg,1,0.5438933372497559
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/WEB02488.jpg,1,0.3519000709056854
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/WEB02503.jpg,1,0.6734683513641357
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/WEB02700.jpg,1,0.42722320556640625
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/WEB02701.jpg,1,0.3494247496128082
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/WEB02734.jpg,1,0.2951863706111908
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/WEB02828.jpg,3,0.6334326267242432
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/WEB02913.jpg,1,0.4259485602378845
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/WEB03135.jpg,2,0.3579651415348053
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/WEB03143.jpg,2,0.34621548652648926
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/WEB03241.jpg,1,0.3917255997657776
/kaggle/input/datasets/sayedgamal99/smoke-fire-detection-yolo/data/val/images/WEB03444.jpg,1,0.308062344789505
